PetID,image_embedding_available,image_embedding_count
86e1089a3,1,1
6296e909a,1,2
3422e4906,1,3
5842f1ff5,1,3
850a43f90,1,3
d24c30b4b,1,2
1caa6fcdb,1,3
97aa9eeac,1,3
c06d167ca,1,3
7a0942d61,1,2
8b693ca84,1,3
8e76c8e39,1,2
aaedd873d,1,1
4a9793dfb,1,1
c02be41e6,1,2
1fd342e17,1,2
b38a74866,1,1
f9d07d5fa,1,2
1c92ce464,1,3
b10e7605a,1,1
6436c1a59,1,3
234a5a54c,1,3
1bc0f89d8,0,0
1bf24d8be,0,0
988988d5b,1,3
cf7d3eec0,1,3
85fc3c314,1,3
efbf1703a,1,2
7843a9dca,0,0
d341fbfd6,1,1
1a76190c5,1,3
edb920079,1,1
543130f60,1,1
9415bc79e,1,3
4c6fe4100,1,3
0737e4f11,1,3
61fa73996,1,2
eabb13cea,1,3
deff069a2,1,3
4e3640544,1,1
ace21b6b1,1,3
8ee223a17,1,1
9a38d4275,1,1
671ffc570,1,3
aece6e7bf,1,2
c1e816568,1,3
22f6c0ac6,1,3
ea159d8da,1,3
af1035c81,1,3
0d25f084f,1,3
6fecc5cf7,1,3
7fe8ef73d,1,1
015c75c9e,1,3
9609a0b86,1,3
c740abfe1,0,0
f6551137d,1,3
8c131db77,1,3
d765ae877,1,2
8ce183889,1,3
9c0ddccc8,1,1
f9df8656a,1,3
f0ef9c777,1,2
3181e5424,1,2
9883a048e,1,3
b0dec8779,1,3
e8d0907ae,1,3
e540c1ba5,1,1
4a4db4d32,1,1
98a98311c,1,1
ef14861df,1,3
a9bc357f0,1,1
aaf4a1439,1,1
1e62e6022,1,3
4e797dcdd,1,3
45d2ddcb8,1,3
259b10a3e,1,1
d2490c888,1,3
2c93c0c11,1,3
35593da00,1,3
4cc70e613,1,1
ff125cf8d,1,1
c30dd6e9a,1,2
be9474b85,1,1
815f4cc08,1,3
ec5069cf6,1,3
867308404,1,3
e9df3ead7,1,2
258667857,1,3
