PetID,image_pixels_available,image_pixels_count,image_width_mean,image_width_max,image_height_mean,image_height_max,image_aspect_ratio_mean,image_aspect_ratio_max,image_resolution_pixels_mean,image_resolution_pixels_max,image_brightness_mean,image_brightness_max,image_contrast_mean,image_contrast_max,image_colorfulness_mean,image_colorfulness_max,image_edge_variance_mean,image_edge_variance_max,image_aspect_ratio_sd
0008c5398,1,6,319.5,360,479.5,480,0.6663013221990258,0.75,153204.5,172800,118.07577,140.87386,67.29203,75.04972,59.92557778452082,104.08643134716557,3035.5156,5901.0874,0.07943157993743548
000a290e4,1,2,360.0,360,480.0,480,0.75,0.75,172800.0,172800,174.7868,175.72388,36.154434,37.24055,19.686063984450957,19.875261013964405,2100.9683,2147.1965,0.0
000fb9572,1,6,400.0,400,289.3333333333333,300,1.3864013266998343,1.492537313432836,115733.33333333333,120000,133.02458,178.998,62.82339,74.57625,30.526096128406905,39.62520635540933,3319.5752,4957.9907,0.07504947594683099
0011d7c25,1,3,332.6666666666667,400,366.6666666666667,400,0.9427777777777777,1.3333333333333333,119733.33333333333,120000,113.1446,135.12094,63.658337,65.88308,30.24946619827006,41.978587897123255,2082.2007,2522.5776,0.2761644817634127
00156db4a,1,5,320.2,400,346.8,400,0.999750936329588,1.4981273408239701,106800.0,106800,104.40033,108.79436,47.92794,54.54392,30.473169174696938,36.21240169960256,4223.8506,5835.031,0.40692263028471637
001a1aaad,1,4,570.0,640,480.0,480,1.1875,1.3333333333333333,273600.0,307200,90.26893,106.03776,55.054638,62.089104,32.73909852787116,47.20536651798989,2328.5964,3335.334,0.25259074277046123
001b1507c,1,6,366.6666666666667,400,333.3333333333333,400,1.1388888888888886,1.3333333333333333,120000.0,120000,148.63295,160.16011,57.537792,65.52821,20.561650329011904,26.440010095368294,2496.9895,2917.5293,0.2749859704614351
002230dea,1,4,331.75,400,356.25,400,0.8911111111111111,1.0,127143.75,160000,95.58908,106.27443,57.99047,71.42049,27.80087906429189,36.400897830165796,2331.3782,4459.5947,0.18860108793527777
002278114,1,13,446.15384615384613,640,482.46153846153845,512,0.9230769230769231,1.3333333333333333,215729.23076923078,327680,123.85098,145.56146,51.234886,64.56192,36.69398784131635,64.21904840653525,2673.1924,5265.8843,0.2603858463024346
0025a8313,1,2,400.0,400,266.0,266,1.5037593984962405,1.5037593984962405,106400.0,106400,110.07231,111.15527,51.507896,52.31703,32.048332251875394,35.33674013821134,3595.4683,4516.334,0.0
