Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,name_available,description_available,name_char_count,description_char_count,description_word_count,sentiment_available,sentiment_score,sentiment_magnitude,sentiment_sentence_count,sentiment_token_count,sentiment_entity_count,metadata_available,metadata_image_count,vision_labels_per_image_mean,vision_label_score_mean,vision_label_score_max,vision_unique_label_count,vision_colors_per_image_mean,vision_crop_hints_per_image_mean,image_pixels_available,image_pixels_count,image_width_mean,image_width_max,image_height_mean,image_height_max,image_aspect_ratio_mean,image_aspect_ratio_max,image_resolution_pixels_mean,image_resolution_pixels_max,image_brightness_mean,image_brightness_max,image_contrast_mean,image_contrast_max,image_colorfulness_mean,image_colorfulness_max,image_edge_variance_mean,image_edge_variance_max,image_aspect_ratio_sd
2,Nibble,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,8480853f516546f6cf33aa88cd76c379,0,Nibble is a 3+ month old ball of cuteness. He is energetic and playful. I rescued a couple of cats a few months ago but could not get them neutered in time as the clinic was fully scheduled. The result was this little kitty. I do not have enough space and funds to care for more cats in my household. Looking for responsible people to take over Nibble's care.,86e1089a3,1.0,2,1,1,6,359,70,1,0.3,2.4,6.0,0.0,13.0,1,1.0,9.0,0.8307984133333334,0.9907862,9.0,10.0,1.0,1,1.0,360.0,360.0,480.0,480.0,0.75,0.75,172800.0,172800.0,95.75144,95.75144,76.17548,76.17548,16.633933411208222,16.633933411208222,4189.1274,4189.1274,0.0
2,No Name Yet,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,3082c7125d8fb66f7dd4bff4192c8b14,0,I just found it alone yesterday near my apartment. It was shaking so I had to bring it home to provide temporary care.,6296e909a,2.0,0,1,1,11,118,23,1,-0.2,0.7,2.0,0.0,2.0,1,2.0,8.5,0.7968214399999999,0.9859118,12.0,10.0,1.0,1,2.0,349.5,399.0,388.5,400.0,0.9041777188328912,1.0583554376657824,135211.5,150423.0,109.66531,126.9089,68.58566,71.84461,33.07411613011362,49.82671982998823,1843.8479,2103.7463,0.15417771883289122
1,Brisco,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,"Their pregnant mother was dumped by her irresponsible owner at the roadside near some shops in Subang Jaya. Gave birth to them at the roadside. They are all healthy and adorable puppies. Already dewormed, vaccinated and ready to go to a home. No tying or caging for long hours as guard dogs. However, it is acceptable to cage or tie for precautionary purposes. Interested to adopt pls call me.",3422e4906,7.0,3,1,1,6,393,69,1,0.2,3.7,7.0,0.0,13.0,1,7.0,9.714285714285714,0.7886417745588236,0.97326094,19.0,10.0,1.0,1,7.0,357.14285714285717,400.0,342.85714285714283,400.0,1.0833333333333333,1.3333333333333333,120000.0,120000.0,146.72984,170.4297,45.461628,56.8287,23.53822755312018,46.319403100807456,1809.1135,3318.823,0.2886751345948128
1,Miko,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,9238e4f44c71a75282e62f7136c6b240,0,"Good guard dog, very alert, active, obedience waiting for her good master, plz call or sms for more details if you really get interested, thanks!!",5842f1ff5,8.0,2,1,1,4,146,25,1,0.9,0.9,1.0,0.0,6.0,1,8.0,9.625,0.7561051514285715,0.983428,16.0,10.0,1.0,1,8.0,375.0,400.0,325.0,400.0,1.1875,1.3333333333333333,120000.0,120000.0,95.7341,129.03816,56.980904,75.87695,35.00572821922627,75.43549552010013,2806.4805,4114.0796,0.25259074277046123
1,Hunter,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,"This handsome yet cute boy is up for adoption. He is the most playful pal we've seen in our puppies. He loves to nibble on shoelaces , Chase you at such a young age. Imagine what a cute brat he will be when he grows. We are looking for a loving home for Hunter , one that will take care of him and give him the love that he needs. Please call urgently if you would like to adopt this cutie.",850a43f90,3.0,2,1,1,6,390,80,1,0.6,3.7,6.0,0.0,13.0,1,3.0,9.666666666666666,0.7795291310344827,0.9843458,17.0,10.0,1.0,1,3.0,516.6666666666666,640.0,444.6666666666667,480.0,1.1867193598750976,1.4988290398126465,225386.66666666666,273280.0,152.42064,169.96884,57.897644,75.85554,66.9193092410622,100.5090607055752,2227.4734,2604.39,0.4413897423156074
2,,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,22fe332bf9c924d4718005891c63fbed,0,"This is a stray kitten that came to my house. Have been feeding it, but cannot keep it.",d24c30b4b,2.0,2,0,1,0,87,18,1,0.0,0.2,2.0,0.0,2.0,1,2.0,10.0,0.8234921595000001,0.9943045,13.0,10.0,1.0,1,2.0,360.0,360.0,480.0,480.0,0.75,0.75,172800.0,172800.0,151.47571,166.17438,53.83023,58.211437,13.702320193424741,19.47129831122552,2848.6685,3079.168,0.0
2,BULAT,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,1e0b5a458b5b77f5af581d57ebf570b3,0,anyone within the area of ipoh or taiping who interested to adopt my cat can contact my father at this number (mazuvil)or can just email me. currently bulat is at my hometown at perak but anyone outside the area still want to adopt can travel there to my hometown.there is a lot of cats in my house rite now..i think i should let one of them go to a better owner who can give better attention to him.,1caa6fcdb,3.0,1,1,1,5,400,81,1,0.2,0.5,2.0,0.0,19.0,1,3.0,10.0,0.7976540879999999,0.9946397,18.0,10.0,1.0,1,3.0,400.0,400.0,300.0,300.0,1.3333333333333333,1.3333333333333333,120000.0,120000.0,100.054405,120.24502,52.0813,58.180794,33.323401962251516,38.989742537237916,1553.7471,1783.414,0.0
1,Siu Pak & Her 6 Puppies,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,1fba5f6e5480946254590d48f9c5198d,0,Siu Pak just give birth on 13/6/10 to 6puppies. Interested pls call or sms me. Left 2female puppies on 2/7/10,97aa9eeac,9.0,3,1,1,23,109,24,1,0.1,0.9,3.0,0.0,3.0,1,9.0,9.444444444444445,0.7615678559999999,0.9685443,23.0,10.0,1.0,1,9.0,344.44444444444446,400.0,355.55555555555554,400.0,1.0092592592592593,1.3333333333333333,120000.0,120000.0,136.9917,148.0233,51.91023,72.26315,14.092097499333242,17.41808934489718,1265.3677,1796.5636,0.28986066374997266
2,,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,d8af7afece71334473575c9f70daf00d,0,"healthy and active, feisty kitten found in neighbours' garden. Not sure of sex.",c06d167ca,6.0,1,0,1,0,79,13,1,0.1,0.5,2.0,0.0,4.0,1,6.0,10.0,0.8009745056666666,0.99468756,17.0,10.0,1.0,1,6.0,400.0,400.0,300.0,300.0,1.3333333333333333,1.3333333333333333,120000.0,120000.0,111.427895,139.13779,39.82457,49.658882,34.55097982484796,53.55875839551833,2985.9631,4738.2144,0.0
2,Kitty,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,1f3f36e4b18e94855b3e88af0852fdc4,0,"Very manja and gentle stray cat found, we would really like to find a home for it because we cannot keep her for ourselves for long. Has a very cute high pitch but soft meow. Please contact me if you would be interested in adopting.",7a0942d61,2.0,4,1,1,5,232,45,1,0.2,1.1,3.0,0.0,4.0,1,2.0,10.0,0.83518448,0.9939735,13.0,10.0,1.0,1,2.0,455.0,640.0,496.5,513.0,0.9050316764132553,1.2475633528265107,228960.0,328320.0,55.637283,72.92425,46.90365,55.3111,37.838984441208964,59.95472634976383,1478.638,1831.1909,0.3425316764132553
