feature,importance
Age,8.034591338443644
Breed1,7.853143348929897
Sterilized,5.367716197640718
PhotoAmt,2.780427917536084
img_emb_pca_2,2.6343669572194455
vision_label_score_mean,2.1464433305413237
State,2.0712089982862327
img_emb_pca_4,2.043937367228596
vision_label_score_max,1.9746482188839676
image_height_max,1.6901727945968885
Dewormed,1.5210206269818738
text_svd_3,1.4709699568609915
image_resolution_pixels_mean,1.4273155598834928
Gender,1.4177596097513778
MaturitySize,1.4079015391459684
Quantity,1.3603800488419633
text_svd_2,1.2696711089038126
img_emb_pca_0,1.1745260658259555
Vaccinated,1.1234715398940094
FurLength,1.1085834294568537
image_height_mean,1.0940631246883101
text_svd_21,1.0158591014511142
text_svd_20,0.9915575085716203
text_svd_12,0.9610243931994238
sentiment_sentence_count,0.9422608738356412
text_svd_41,0.8970651902322433
text_svd_9,0.8753860413716242
vision_labels_per_image_mean,0.8341244833766561
Type,0.7774905021704263
text_svd_47,0.7423024708540898
text_svd_46,0.7355565044742081
text_svd_56,0.7227681520816323
image_resolution_pixels_max,0.7018765708936081
text_svd_53,0.6918443746005439
Color1,0.634811703939947
text_svd_14,0.6196509611244532
img_emb_pca_13,0.5795181901135898
vision_unique_label_count,0.5492122855516776
text_svd_82,0.545789900359406
text_svd_1,0.5363969056147603
text_svd_33,0.531109933935236
image_width_max,0.5303601257624908
text_svd_4,0.5151910837502874
sentiment_magnitude,0.5085823637542611
text_svd_38,0.4911951010733817
img_emb_pca_3,0.4759655035606712
img_emb_pca_32,0.4747478743538353
text_svd_13,0.46682424292469915
img_emb_pca_49,0.45536416267341817
image_edge_variance_max,0.444490806476129
image_width_mean,0.44104562826644883
text_svd_28,0.4358730283073475
img_emb_pca_17,0.4333149762685402
image_brightness_mean,0.4319574320639402
text_svd_10,0.42900940880329924
text_svd_50,0.4280926598087002
text_svd_55,0.4280541648167965
sentiment_entity_count,0.42592136911183553
text_svd_35,0.4206544941948224
text_svd_79,0.4146370181633809
text_svd_61,0.4117077313426231
img_emb_pca_15,0.40269720852461877
img_emb_pca_16,0.3892447405267962
img_emb_pca_19,0.3885377760776813
image_aspect_ratio_max,0.384861391144834
img_emb_pca_25,0.34629801404380767
text_svd_43,0.3441952563984376
text_svd_19,0.3420606250105659
image_colorfulness_max,0.34111447256922095
text_svd_42,0.3396646696708335
text_svd_23,0.32965782645137065
img_emb_pca_48,0.3286849367111014
img_emb_pca_40,0.3261936750057582
image_colorfulness_mean,0.32435029116862074
text_svd_93,0.3208981565647989
text_svd_16,0.32033875847583276
img_emb_pca_41,0.3180729445593149
text_svd_78,0.3167938586410149
img_emb_pca_38,0.31278643164047415
text_svd_24,0.3125640214397869
img_emb_pca_22,0.3068775123605187
img_emb_pca_7,0.3061609601706106
text_svd_64,0.3034588573855456
description_word_count,0.30315182627252024
text_svd_22,0.3022802235973129
text_svd_57,0.3021868132835617
Fee,0.2981710727163407
text_svd_65,0.2960830264323047
img_emb_pca_20,0.2953180203811902
text_svd_92,0.29290421577420184
text_svd_62,0.28564581156427016
img_emb_pca_9,0.2837884151069502
img_emb_pca_33,0.27753024033928003
img_emb_pca_12,0.27495481817576095
text_svd_63,0.27034219927663444
image_brightness_max,0.2615630285400919
text_svd_31,0.25578641935431606
img_emb_pca_37,0.25428090414471133
text_svd_72,0.25390891296040147
text_svd_58,0.2508178747936131
description_char_count,0.2442813233186701
text_svd_44,0.243392754295087
text_svd_76,0.2352075041100932
image_edge_variance_mean,0.23103932076244443
text_svd_90,0.23088442503519188
text_svd_71,0.22894838848600776
text_svd_91,0.22894223014759446
img_emb_pca_47,0.22892235490497254
text_svd_15,0.22842962060672042
text_svd_37,0.22597710001370233
text_svd_89,0.2219274582328038
text_svd_95,0.22142986217949653
img_emb_pca_6,0.21417905108613175
text_svd_27,0.2135588664213888
text_svd_54,0.21044519754304775
text_svd_75,0.20876982929096013
text_svd_60,0.20829089687410873
text_svd_94,0.20352031969274048
text_svd_40,0.20258192473375244
text_svd_70,0.2007551886678398
text_svd_0,0.19602519777990832
img_emb_pca_46,0.19524017941096095
img_emb_pca_26,0.1941268971682581
Color2,0.19329894879830467
Health,0.18909487765943023
image_aspect_ratio_sd,0.18636341958174693
text_svd_52,0.1846913847117207
img_emb_pca_39,0.18277257300893524
text_svd_59,0.17902931229820643
img_emb_pca_36,0.1785295134916108
img_emb_pca_5,0.17751142239080023
text_svd_49,0.17490237556291227
img_emb_pca_14,0.1726860487537402
text_svd_11,0.17120638368513172
text_svd_85,0.17064912772242702
text_svd_30,0.1658540472129812
sentiment_score,0.1591209911730062
text_svd_5,0.1576752621907901
img_emb_pca_43,0.15551053071862692
img_emb_pca_23,0.15445928486729196
text_svd_18,0.15336592477460143
text_svd_51,0.15315205551913375
Color3,0.15167457550462995
text_svd_45,0.1515556676666423
text_svd_77,0.15049090285978672
text_svd_36,0.14791584000085672
text_svd_98,0.14744318182684082
text_svd_25,0.14580752386301982
text_svd_67,0.142624759951403
text_svd_87,0.13777823272765413
text_svd_29,0.13428206325348652
text_svd_88,0.1339860519522553
text_svd_74,0.1337075680799711
img_emb_pca_24,0.13316519543124858
text_svd_83,0.1320038542761736
text_svd_6,0.1311064666467347
text_svd_8,0.1306847744353472
text_svd_39,0.12467942663433836
text_svd_69,0.12031846561176575
text_svd_73,0.11536112834481572
text_svd_97,0.114821632472822
img_emb_pca_18,0.10818361412549417
img_emb_pca_30,0.10160825070715528
img_emb_pca_34,0.10030366260985366
img_emb_pca_45,0.09541093564047992
text_svd_26,0.09327772763847611
img_emb_pca_31,0.09303322935763915
img_emb_pca_42,0.0921964986605881
text_svd_7,0.08875430840531624
img_emb_pca_27,0.08534752563859371
text_svd_86,0.07866985693439192
text_svd_81,0.07523258213854482
image_aspect_ratio_mean,0.07511049150897074
img_embedding_available,0.07173997825054734
text_svd_96,0.07109691434376483
image_contrast_mean,0.07029566126115674
text_svd_48,0.06574650919093317
img_emb_pca_35,0.06307370722390418
image_contrast_max,0.059124829464458434
vision_colors_per_image_mean,0.05889981934338379
img_emb_pca_44,0.05830454014279257
img_emb_pca_21,0.05555314387586762
name_char_count,0.05351325553600357
img_emb_pca_10,0.0506987473131229
text_svd_17,0.046949226073809455
img_emb_pca_28,0.04633780249357419
text_svd_32,0.042597206677553984
img_emb_pca_8,0.04171891252591497
text_svd_66,0.036567137556848796
text_svd_80,0.03579408730006195
img_emb_pca_1,0.035496579145504026
VideoAmt,0.008066062466955723
text_svd_34,0.0
text_svd_99,0.0
image_pixels_available,0.0
vision_crop_hints_per_image_mean,0.0
text_svd_68,0.0
metadata_available,0.0
sentiment_token_count,0.0
sentiment_available,0.0
img_emb_pca_29,0.0
text_svd_84,0.0
description_available,0.0
name_available,0.0
Breed2,0.0
img_emb_pca_11,0.0
