feature,importance
Age,9.775581341534206
Breed1,6.963935028732913
img_emb_pca_2,3.3371070609347915
Sterilized,3.206386054648238
vision_label_score_max,2.9710642414427526
img_emb_pca_4,2.6122658199451156
Quantity,2.205949774922021
vision_label_score_mean,2.1875966799724704
State,2.020681128308323
image_height_max,1.7585912148674043
text_svd_58,1.3255201451985374
text_svd_14,1.2172635791968782
Fee,1.2090256392680778
img_emb_pca_0,1.0945442805513228
img_emb_pca_17,1.071318923832653
img_emb_pca_3,1.0530270138204523
text_svd_46,1.0233873498288468
text_svd_3,1.0098539095899182
image_height_mean,1.0039962804549405
image_resolution_pixels_max,0.9878447750960969
img_emb_pca_27,0.9824910658805445
MaturitySize,0.9667972973296279
Gender,0.9265369578598234
text_svd_13,0.8716461819421116
img_emb_pca_9,0.8522752731329645
img_emb_pca_41,0.7962222704551029
Vaccinated,0.7752470372613094
img_emb_pca_38,0.7391900533543004
img_emb_pca_13,0.7289785050476421
Breed2,0.7029227250241837
FurLength,0.6621792558098349
img_emb_pca_7,0.6252508579994591
vision_labels_per_image_mean,0.6200123607958199
img_emb_pca_19,0.6165382707680834
text_svd_93,0.6114099644688565
text_svd_44,0.5700876325475114
img_emb_pca_23,0.5694481256041615
text_svd_65,0.5631283796828468
img_emb_pca_5,0.5430232941227268
img_emb_pca_47,0.5416088411767702
Type,0.5402296145830073
text_svd_50,0.5399136920197115
vision_unique_label_count,0.5289988710131217
PhotoAmt,0.5239425416982137
text_svd_74,0.5210855657760739
text_svd_33,0.5202653645882425
text_svd_30,0.5114220954775868
text_svd_11,0.5098563863111124
text_svd_0,0.5058174135986468
text_svd_12,0.4851329917784532
img_emb_pca_12,0.4803558733854461
sentiment_sentence_count,0.4720157953950602
text_svd_94,0.4634371270206996
text_svd_27,0.46211921891969876
text_svd_9,0.45635934030771136
text_svd_51,0.45177468195525045
image_resolution_pixels_mean,0.43921867417065774
text_svd_26,0.43613823705953847
text_svd_49,0.4242862471204335
text_svd_17,0.4233456797009822
text_svd_96,0.4221339241002934
description_word_count,0.3927725366134358
text_svd_56,0.3922432818258814
text_svd_23,0.3905960187018939
image_width_max,0.38496316346346954
text_svd_66,0.3784275404958693
img_emb_pca_30,0.3768064406875113
text_svd_31,0.3749277716799519
img_emb_pca_49,0.368147444620931
text_svd_73,0.3672774795024906
text_svd_20,0.3610217736863748
img_emb_pca_15,0.359247178393248
Color1,0.35524555740766656
text_svd_21,0.35299151131454376
img_emb_pca_37,0.3463044154745462
text_svd_41,0.33224331360606824
text_svd_87,0.3283467418588115
text_svd_32,0.3273961943467379
text_svd_79,0.3232845969855537
text_svd_40,0.32316424252841935
text_svd_7,0.3216683950154491
text_svd_43,0.3184347320929192
text_svd_57,0.31635467932971323
text_svd_82,0.31508976290474944
Dewormed,0.31299433441808144
img_emb_pca_16,0.3086445673943904
text_svd_88,0.30398526688431443
text_svd_47,0.3004412521455211
text_svd_38,0.300342115097733
image_brightness_max,0.2950917119978362
text_svd_71,0.29277475504282113
text_svd_5,0.29220733953713096
img_emb_pca_8,0.2906708147678662
text_svd_91,0.2851701784782505
text_svd_75,0.2809460580268089
img_emb_pca_6,0.2779819090184499
text_svd_72,0.27765173935516074
img_emb_pca_46,0.27727222317316264
image_width_mean,0.2746065458181824
img_emb_pca_33,0.27267759544165915
img_emb_pca_39,0.2721811393092974
text_svd_53,0.26710048901383576
img_emb_pca_28,0.2593023886915298
image_contrast_max,0.259149824231233
text_svd_70,0.2583604571112807
description_char_count,0.2455727590522293
text_svd_90,0.2426327254743253
text_svd_25,0.23641827630871673
img_emb_pca_14,0.2362282102209901
text_svd_61,0.2354833781405158
text_svd_77,0.231625115452836
text_svd_97,0.2315269190058995
text_svd_64,0.22974624827027132
text_svd_48,0.22633498039868252
text_svd_22,0.22348409964487448
image_aspect_ratio_mean,0.22299039048358957
img_emb_pca_32,0.22177025561269947
img_emb_pca_20,0.22167251153549047
text_svd_39,0.21828567925081507
