CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Cluster_ID,Cluster_Name,Persona_Name,PCA_1,PCA_2,PCA_3
1,Male,19,15.0,39.0,4,Sensible / Budget,The Budget Conscious,-1.5371,-0.9222,0.0
2,Male,21,15.0,81.0,2,Spendthrifts / Trendsetters,The Spendthrifts,-0.3842,-2.0751,0.0
3,Female,20,16.0,6.0,4,Sensible / Budget,The Budget Conscious,-2.416,0.0107,0.0
4,Female,23,16.0,77.0,2,Spendthrifts / Trendsetters,The Spendthrifts,-0.467,-1.9384,0.0
5,Female,31,17.0,40.0,4,Sensible / Budget,The Budget Conscious,-1.4557,-0.8957,0.0
6,Female,22,17.0,76.0,2,Spendthrifts / Trendsetters,The Spendthrifts,-0.4674,-1.8839,0.0
7,Female,35,18.0,6.0,4,Sensible / Budget,The Budget Conscious,-2.362,0.0646,0.0
8,Female,23,18.0,94.0,2,Spendthrifts / Trendsetters,The Spendthrifts,0.0537,-2.351,0.0
9,Male,64,19.0,3.0,4,Sensible / Budget,The Budget Conscious,-2.4174,0.174,0.0
10,Female,30,19.0,72.0,2,Spendthrifts / Trendsetters,The Spendthrifts,-0.5233,-1.7201,0.0
11,Male,67,19.0,14.0,4,Sensible / Budget,The Budget Conscious,-2.1154,-0.128,0.0
12,Female,35,19.0,99.0,2,Spendthrifts / Trendsetters,The Spendthrifts,0.2179,-2.4613,0.0
13,Female,58,20.0,15.0,4,Sensible / Budget,The Budget Conscious,-2.061,-0.1284,0.0
14,Female,24,20.0,77.0,2,Spendthrifts / Trendsetters,The Spendthrifts,-0.359,-1.8304,0.0
15,Male,37,20.0,13.0,4,Sensible / Budget,The Budget Conscious,-2.1159,-0.0735,0.0
16,Male,22,20.0,79.0,2,Spendthrifts / Trendsetters,The Spendthrifts,-0.3041,-1.8853,0.0
17,Female,35,21.0,35.0,4,Sensible / Budget,The Budget Conscious,-1.485,-0.6505,0.0
18,Male,20,21.0,66.0,2,Spendthrifts / Trendsetters,The Spendthrifts,-0.634,-1.5014,0.0
19,Male,52,23.0,29.0,4,Sensible / Budget,The Budget Conscious,-1.5957,-0.4318,0.0
