support,itemsets,length
0.12089887640449438,CROISSANT ALL BUTTER,1
0.1204494382022472,PAIN AU CHOCOLAT,1
0.11775280898876404,GARDENING GLOVES PAIR,1
0.11730337078651686,ARTISAN PASTA PENNE,1
0.11685393258426967,CAPPUCCINO CUP & SAUCER,1
0.11595505617977528,ITALIAN EXTRA VIRGIN OLIVE OIL,1
0.11550561797752809,ALMOND DANISH,1
0.11415730337078651,COLOMBIAN ROAST COFFEE,1
0.11415730337078651,WATERING CAN GREEN 2L,1
0.11415730337078651,WHOLE WHEAT BREAD,1
0.11370786516853933,GARLIC HERB BREADSTICKS,1
0.11325842696629214,REGENCY CAKESTAND 3 TIER,1
0.11325842696629214,FRENCH VANILLA SYRUP,1
0.11280898876404494,DARK CHOCOLATE BAR 85%,1
0.11235955056179775,ORGANIC EGGS DOZEN,1
0.11146067415730337,CERAMIC PLANT POT WHITE,1
0.11056179775280899,PURE CANE SUGAR,1
0.1101123595505618,WHITE HANGING HEART T-LIGHT HOLDER,1
0.10966292134831461,ORGANIC TOMATO BASIL SAUCE,1
0.10921348314606742,MONITOR LIGHT BAR,1
0.10741573033707866,BLUEBERRY SCONE,1
0.10741573033707866,HEART OF WICKER LARGE,1
0.10741573033707866,STRAWBERRY PRESERVES,1
0.10741573033707866,CERAMIC COFFEE MUG,1
0.10741573033707866,SWEET CREAM BUTTER,1
0.10606741573033708,SET OF 3 CAKE TINS PANTRY,1
0.10561797752808989,LED GROW LIGHT BULB,1
0.10516853932584269,MECHANICAL KEYBOARD,1
0.10426966292134832,ORGANIC WHOLE MILK,1
0.10382022471910113,HEART OF WICKER SMALL,1
0.10337078651685393,WIRELESS ERGONOMIC MOUSE,1
0.10202247191011236,AGED PARMESAN REGGIANO,1
0.10157303370786516,LARGE DESK PAD BLACK,1
0.10157303370786516,USB-C MULTIPORT ADAPTER,1
0.10157303370786516,ORGANIC POTTING SOIL 10L,1
0.07101123595505618,"CROISSANT ALL BUTTER, PAIN AU CHOCOLAT",2
0.07056179775280899,"GARLIC HERB BREADSTICKS, ITALIAN EXTRA VIRGIN OLIVE OIL",2
0.0696629213483146,"ARTISAN PASTA PENNE, ORGANIC TOMATO BASIL SAUCE",2
0.06876404494382023,"ALMOND DANISH, CROISSANT ALL BUTTER",2
0.06786516853932584,"GARDENING GLOVES PAIR, WATERING CAN GREEN 2L",2
