iteration,restart_id,step_type,min_support,min_confidence,max_len,min_lift,pruning_factor,rule_count,avg_support,avg_confidence,avg_lift,coverage,loss,fitness,best_fitness,step_size,accepted
1,0,initial,0.026345,0.598904,5,3.409959,0.015724,24,0.04161,0.629851,5.550731,0.361348,0.62308,64.51404,64.51404,0.05,True
2,0,improvement,0.024559,0.598568,5,3.201797,0.067543,17,0.041216,0.651266,5.737205,0.247191,0.576555,64.989698,64.989698,0.0425,True
3,0,improvement,0.022866,0.614407,5,3.332493,0.05128,38,0.030278,0.667751,5.935152,0.276404,0.472753,69.253512,69.253512,0.048875,True
4,0,plateau,0.022866,0.614407,5,3.332493,0.05128,38,0.030278,0.667751,5.935152,0.276404,0.472753,69.253512,69.253512,0.041544,False
5,0,improvement,0.021922,0.633053,5,3.449883,0.053701,41,0.025662,0.674184,5.98306,0.187416,0.4268,70.392178,70.392178,0.035312,True
6,0,plateau,0.021922,0.633053,5,3.449883,0.053701,41,0.025662,0.674184,5.98306,0.187416,0.4268,70.392178,70.392178,0.030015,False
7,0,plateau,0.021922,0.633053,5,3.449883,0.053701,41,0.025662,0.674184,5.98306,0.187416,0.4268,70.392178,70.392178,0.025513,False
8,0,plateau,0.021922,0.633053,5,3.449883,0.053701,41,0.025662,0.674184,5.98306,0.187416,0.4268,70.392178,70.392178,0.021686,False
9,0,plateau,0.021922,0.633053,5,3.449883,0.053701,41,0.025662,0.674184,5.98306,0.187416,0.4268,70.392178,70.392178,0.018433,False
10,0,improvement,0.01988,0.635195,5,3.697145,0.038376,55,0.02436,0.669995,5.977085,0.245843,0.438639,70.582086,70.582086,0.015668,True
11,0,plateau,0.01988,0.635195,5,3.697145,0.038376,55,0.02436,0.669995,5.977085,0.245843,0.438639,70.582086,70.582086,0.013318,False
12,0,improvement,0.021144,0.635296,5,3.743054,0.027497,47,0.023878,0.671843,5.969425,0.191461,0.415592,70.913787,70.913787,0.01132,True
13,0,plateau,0.021144,0.635296,5,3.743054,0.027497,47,0.023878,0.671843,5.969425,0.191461,0.415592,70.913787,70.913787,0.009622,False
14,0,plateau,0.021144,0.635296,5,3.743054,0.027497,47,0.023878,0.671843,5.969425,0.191461,0.415592,70.913787,70.913787,0.008179,False
15,0,plateau,0.021144,0.635296,5,3.743054,0.027497,47,0.023878,0.671843,5.969425,0.191461,0.415592,70.913787,70.913787,0.006952,False
16,0,plateau,0.021144,0.635296,5,3.743054,0.027497,47,0.023878,0.671843,5.969425,0.191461,0.415592,70.913787,70.913787,0.005909,False
17,0,improvement,0.021161,0.631346,5,3.748163,0.021792,52,0.025169,0.668196,5.915465,0.235056,0.415704,71.231944,71.231944,0.005023,True
18,0,improvement,0.021161,0.629253,5,3.732624,0.025817,52,0.024866,0.668054,5.915857,0.227865,0.412371,71.303975,71.303975,0.005,True
19,0,plateau,0.021161,0.629253,5,3.732624,0.025817,52,0.024866,0.668054,5.915857,0.227865,0.412371,71.303975,71.303975,0.005,False
20,0,plateau,0.021161,0.629253,5,3.732624,0.025817,52,0.024866,0.668054,5.915857,0.227865,0.412371,71.303975,71.303975,0.005,False
21,0,plateau,0.021161,0.629253,5,3.732624,0.025817,52,0.024866,0.668054,5.915857,0.227865,0.412371,71.303975,71.303975,0.005,False
22,0,plateau,0.021161,0.629253,5,3.732624,0.025817,52,0.024866,0.668054,5.915857,0.227865,0.412371,71.303975,71.303975,0.005,False
23,0,restart_triggered,0.021161,0.629253,5,3.732624,0.025817,52,0.024866,0.668054,5.915857,0.227865,0.412371,71.303975,71.303975,0.005,False
24,1,initial,0.033203,0.23168,4,5.4189,0.485469,23,0.039687,0.361285,5.576062,0.24809,0.535966,63.418993,71.303975,0.05,True
25,1,improvement,0.028952,0.295241,4,5.430958,0.538524,26,0.038565,0.354722,5.571215,0.271461,0.528085,63.845153,71.303975,0.0425,True
26,1,plateau,0.028952,0.295241,4,5.430958,0.538524,26,0.038565,0.354722,5.571215,0.271461,0.528085,63.845153,71.303975,0.036125,False
27,1,plateau,0.028952,0.295241,4,5.430958,0.538524,26,0.038565,0.354722,5.571215,0.271461,0.528085,63.845153,71.303975,0.030706,False
28,1,plateau,0.028952,0.295241,4,5.430958,0.538524,26,0.038565,0.354722,5.571215,0.271461,0.528085,63.845153,71.303975,0.0261,False
29,1,improvement,0.026808,0.29261,3,5.420444,0.527069,27,0.038568,0.353788,5.56601,0.271461,0.521648,64.066016,71.303975,0.022185,True
30,1,plateau,0.026808,0.29261,3,5.420444,0.527069,27,0.038568,0.353788,5.56601,0.271461,0.521648,64.066016,71.303975,0.018857,False
31,1,improvement,0.022771,0.300506,3,5.36429,0.523928,35,0.040745,0.375645,5.525954,0.30427,0.518991,64.826423,71.303975,0.016029,True
32,1,plateau,0.022771,0.300506,3,5.36429,0.523928,35,0.040745,0.375645,5.525954,0.30427,0.518991,64.826423,71.303975,0.013625,False
33,1,plateau,0.022771,0.300506,3,5.36429,0.523928,35,0.040745,0.375645,5.525954,0.30427,0.518991,64.826423,71.303975,0.011581,False
34,1,plateau,0.022771,0.300506,3,5.36429,0.523928,35,0.040745,0.375645,5.525954,0.30427,0.518991,64.826423,71.303975,0.009844,False
35,1,plateau,0.022771,0.300506,3,5.36429,0.523928,35,0.040745,0.375645,5.525954,0.30427,0.518991,64.826423,71.303975,0.008367,False
36,1,restart_triggered,0.022771,0.300506,3,5.36429,0.523928,35,0.040745,0.375645,5.525954,0.30427,0.518991,64.826423,71.303975,0.007112,False
37,2,initial,0.025783,0.286464,5,5.444839,0.67444,23,0.038476,0.355813,5.588323,0.265169,0.543981,63.227447,71.303975,0.05,True
38,2,improvement,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.0425,True
39,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.036125,False
40,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.030706,False
41,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.0261,False
42,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.022185,False
43,2,step_kick,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.05,False
44,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.0425,False
45,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.036125,False
46,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.030706,False
47,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.0261,False
48,2,step_kick,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.05,False
49,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.0425,False
50,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.036125,False
51,2,plateau,0.022413,0.220595,5,5.37256,0.65409,50,0.03591,0.331463,5.653405,0.319101,0.518305,64.820836,71.303975,0.030706,False
52,2,improvement,0.006374,0.222087,5,5.377481,0.68598,48,0.036451,0.336054,5.633904,0.319101,0.516171,64.89406,71.303975,0.0261,True
53,2,plateau,0.006374,0.222087,5,5.377481,0.68598,48,0.036451,0.336054,5.633904,0.319101,0.516171,64.89406,71.303975,0.022185,False
54,2,improvement,0.008562,0.221655,5,5.433589,0.682734,38,0.034169,0.315271,5.694397,0.271461,0.490106,64.969322,71.303975,0.018857,True
55,2,plateau,0.008562,0.221655,5,5.433589,0.682734,38,0.034169,0.315271,5.694397,0.271461,0.490106,64.969322,71.303975,0.016029,False
56,2,plateau,0.008562,0.221655,5,5.433589,0.682734,38,0.034169,0.315271,5.694397,0.271461,0.490106,64.969322,71.303975,0.013625,False
57,2,plateau,0.008562,0.221655,5,5.433589,0.682734,38,0.034169,0.315271,5.694397,0.271461,0.490106,64.969322,71.303975,0.011581,False
58,2,plateau,0.008562,0.221655,5,5.433589,0.682734,38,0.034169,0.315271,5.694397,0.271461,0.490106,64.969322,71.303975,0.009844,False
59,2,step_kick,0.008562,0.221655,5,5.433589,0.682734,38,0.034169,0.315271,5.694397,0.271461,0.490106,64.969322,71.303975,0.05,False
60,2,plateau,0.008562,0.221655,5,5.433589,0.682734,38,0.034169,0.315271,5.694397,0.271461,0.490106,64.969322,71.303975,0.0425,False
