id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,zhangs_metric,kulczynski,imbalance_ratio,cosine
15126,"LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.030112,0.111461,0.022921,0.761194,6.829261,0.019565,3.720758,0.880072,0.48342,0.685606,0.395646
15581,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",LED GROW LIGHT BULB,0.03236,0.105618,0.022921,0.708333,6.70656,0.019504,3.066453,0.879348,0.462677,0.636719,0.392076
16537,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, LED GROW LIGHT BULB",ORGANIC POTTING SOIL 10L,0.035506,0.101573,0.023371,0.658228,6.480341,0.019764,2.628731,0.876819,0.444158,0.581028,0.389167
16654,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER LARGE,0.033708,0.107416,0.023371,0.693333,6.454672,0.01975,2.910601,0.874553,0.455453,0.625954,0.388395
16949,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",CERAMIC PLANT POT WHITE,0.032809,0.111461,0.023371,0.712329,6.390853,0.019714,3.088732,0.87214,0.461003,0.650558,0.38647
16951,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, WATERING CAN GREEN 2L",LED GROW LIGHT BULB,0.037303,0.105618,0.025169,0.674699,6.388106,0.021229,2.749397,0.876142,0.456498,0.580153,0.400973
17260,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L",LED GROW LIGHT BULB,0.035056,0.105618,0.023371,0.666667,6.312057,0.019668,2.683146,0.872147,0.443972,0.601533,0.38408
17387,"AGED PARMESAN REGGIANO, ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",ARTISAN PASTA PENNE,0.031011,0.117303,0.022921,0.73913,6.301016,0.019284,3.38367,0.86822,0.467266,0.688172,0.380037
17402,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",WATERING CAN GREEN 2L,0.03191,0.114157,0.022921,0.71831,6.292281,0.019279,3.144742,0.868799,0.459549,0.667883,0.379773
17530,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY",WHITE HANGING HEART T-LIGHT HOLDER,0.03191,0.110112,0.022022,0.690141,6.267606,0.018509,2.87191,0.868152,0.44507,0.651685,0.371521
17745,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",GARDENING GLOVES PAIR,0.03191,0.117753,0.023371,0.732394,6.219761,0.019613,3.296818,0.866885,0.465434,0.679715,0.381262
17755,"HEART OF WICKER LARGE, SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER SMALL,0.034157,0.10382,0.022022,0.644737,6.210128,0.018476,2.52258,0.868643,0.428429,0.600775,0.369814
