id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,zhangs_metric,kulczynski,imbalance_ratio,cosine,composite_score,rule_category
1,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L","GARDENING GLOVES PAIR, LED GROW LIGHT BULB",0.055281,0.060674,0.023371,0.422764,6.967781,0.020017,1.627283,0.9066,0.403975,0.058252,0.403538,0.7504,High-Lift Affinity Pair
2,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB","CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L",0.060674,0.055281,0.023371,0.385185,6.967781,0.020017,1.536591,0.911805,0.403975,0.058252,0.403538,0.7396,High-Lift Affinity Pair
3,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L","LED GROW LIGHT BULB, WATERING CAN GREEN 2L",0.055281,0.060674,0.022921,0.414634,6.833785,0.019567,1.604682,0.903621,0.396206,0.057971,0.395777,0.738,High-Lift Affinity Pair
4,"LED GROW LIGHT BULB, WATERING CAN GREEN 2L","CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L",0.060674,0.055281,0.022921,0.377778,6.833785,0.019567,1.518299,0.908809,0.396206,0.057971,0.395777,0.7275,High-Lift Affinity Pair
5,"LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.030112,0.111461,0.022921,0.761194,6.829261,0.019565,3.720758,0.880072,0.48342,0.685606,0.395646,0.8394,High-Confidence Cross-Sell
6,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD, WIRELESS ERGONOMIC MOUSE",USB-C MULTIPORT ADAPTER,0.027416,0.101573,0.018876,0.688525,6.778616,0.016092,2.884423,0.876507,0.437183,0.673469,0.357709,0.8081,High-Confidence Cross-Sell
7,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",LED GROW LIGHT BULB,0.03236,0.105618,0.022921,0.708333,6.70656,0.019504,3.066453,0.879348,0.462677,0.636719,0.392076,0.8152,High-Confidence Cross-Sell
8,"LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L","CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L",0.053933,0.063371,0.022921,0.425,6.70656,0.019504,1.62892,0.899399,0.393351,0.1,0.392076,0.7322,High-Lift Affinity Pair
9,"CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L","LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",0.063371,0.053933,0.022921,0.361702,6.70656,0.019504,1.482172,0.908462,0.393351,0.1,0.392076,0.7141,High-Lift Affinity Pair
10,"ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L","CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB",0.056629,0.060674,0.022921,0.404762,6.671076,0.019485,1.578067,0.901129,0.39127,0.042857,0.391037,0.7239,High-Lift Affinity Pair
11,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB","ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",0.060674,0.056629,0.022921,0.377778,6.671076,0.019485,1.516132,0.90501,0.39127,0.042857,0.391037,0.7162,High-Lift Affinity Pair
12,"LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L","CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR",0.053933,0.066067,0.023371,0.433333,6.558957,0.019808,1.648116,0.895852,0.393537,0.125581,0.39152,0.7251,High-Lift Affinity Pair
13,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR","LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",0.066067,0.053933,0.023371,0.353741,6.558957,0.019808,1.463915,0.907492,0.393537,0.125581,0.39152,0.7024,High-Lift Affinity Pair
14,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB","CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L",0.060674,0.063371,0.025169,0.414815,6.545837,0.021324,1.600569,0.901957,0.405989,0.027273,0.405893,0.7218,High-Lift Affinity Pair
15,"CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L","GARDENING GLOVES PAIR, LED GROW LIGHT BULB",0.063371,0.060674,0.025169,0.397163,6.545837,0.021324,1.558176,0.904553,0.405989,0.027273,0.405893,0.7168,High-Lift Affinity Pair
16,"GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L","CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB",0.058876,0.060674,0.023371,0.396947,6.542267,0.019799,1.557616,0.900145,0.391066,0.018692,0.391022,0.7135,High-Lift Affinity Pair
17,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB","GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L",0.060674,0.058876,0.023371,0.385185,6.542267,0.019799,1.530743,0.901868,0.391066,0.018692,0.391022,0.7101,High-Lift Affinity Pair
18,"HEART OF WICKER LARGE, HEART OF WICKER SMALL","REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER",0.05618,0.06382,0.023371,0.416,6.51831,0.019785,1.603048,0.896978,0.391099,0.07907,0.390305,0.7173,High-Lift Affinity Pair
19,"REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER LARGE, HEART OF WICKER SMALL",0.06382,0.05618,0.023371,0.366197,6.51831,0.019785,1.489139,0.904299,0.391099,0.07907,0.390305,0.7031,High-Lift Affinity Pair
20,"LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER","MECHANICAL KEYBOARD, MONITOR LIGHT BAR",0.055281,0.058876,0.021124,0.382114,6.490101,0.017869,1.523134,0.895419,0.370446,0.038647,0.370262,0.7019,High-Lift Affinity Pair
21,"MECHANICAL KEYBOARD, MONITOR LIGHT BAR","LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER",0.058876,0.055281,0.021124,0.358779,6.490101,0.017869,1.473312,0.89884,0.370446,0.038647,0.370262,0.6952,High-Lift Affinity Pair
22,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, LED GROW LIGHT BULB",ORGANIC POTTING SOIL 10L,0.035506,0.101573,0.023371,0.658228,6.480341,0.019764,2.628731,0.876819,0.444158,0.581028,0.389167,0.7854,High-Confidence Cross-Sell
23,"LARGE DESK PAD BLACK, MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER",MECHANICAL KEYBOARD,0.031011,0.105169,0.021124,0.681159,6.476836,0.017862,2.806517,0.872666,0.441007,0.644531,0.369884,0.7885,High-Confidence Cross-Sell
24,"LARGE DESK PAD BLACK, WIRELESS ERGONOMIC MOUSE","MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER",0.050787,0.057528,0.018876,0.371681,6.460868,0.015955,1.499991,0.890445,0.349903,0.075377,0.349225,0.6932,High-Lift Affinity Pair
25,"MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER","LARGE DESK PAD BLACK, WIRELESS ERGONOMIC MOUSE",0.057528,0.050787,0.018876,0.328125,6.460868,0.015955,1.412783,0.896814,0.349903,0.075377,0.349225,0.6807,High-Lift Affinity Pair
26,"HEART OF WICKER LARGE, HEART OF WICKER SMALL","SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",0.05618,0.060674,0.022022,0.392,6.460741,0.018614,1.544944,0.89553,0.377481,0.047393,0.377202,0.7042,High-Lift Affinity Pair
27,"SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER LARGE, HEART OF WICKER SMALL",0.060674,0.05618,0.022022,0.362963,6.460741,0.018614,1.481578,0.899814,0.377481,0.047393,0.377202,0.6959,High-Lift Affinity Pair
28,"ORGANIC EGGS DOZEN, ORGANIC WHOLE MILK, STRAWBERRY PRESERVES",SWEET CREAM BUTTER,0.027865,0.107416,0.019326,0.693548,6.456674,0.016333,2.912643,0.869346,0.436732,0.686047,0.353243,0.788,High-Confidence Cross-Sell
29,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER LARGE,0.033708,0.107416,0.023371,0.693333,6.454672,0.01975,2.910601,0.874553,0.455453,0.625954,0.388395,0.794,High-Confidence Cross-Sell
30,"LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE",MECHANICAL KEYBOARD,0.027865,0.105169,0.018876,0.677419,6.441274,0.015946,2.773978,0.868965,0.428453,0.677165,0.348695,0.7814,High-Confidence Cross-Sell
31,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD, MONITOR LIGHT BAR",USB-C MULTIPORT ADAPTER,0.03236,0.101573,0.021124,0.652778,6.426684,0.017837,2.58747,0.872637,0.430371,0.613546,0.368449,0.7766,High-Confidence Cross-Sell
32,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",CERAMIC PLANT POT WHITE,0.032809,0.111461,0.023371,0.712329,6.390853,0.019714,3.088732,0.87214,0.461003,0.650558,0.38647,0.7952,High-Confidence Cross-Sell
33,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, WATERING CAN GREEN 2L",LED GROW LIGHT BULB,0.037303,0.105618,0.025169,0.674699,6.388106,0.021229,2.749397,0.876142,0.456498,0.580153,0.400973,0.7866,High-Confidence Cross-Sell
34,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD","MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER",0.057079,0.057978,0.021124,0.370079,6.383141,0.017814,1.495461,0.894388,0.36721,0.009569,0.367199,0.691,High-Lift Affinity Pair
35,"MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER","LARGE DESK PAD BLACK, MECHANICAL KEYBOARD",0.057978,0.057079,0.021124,0.364341,6.383141,0.017814,1.483376,0.895241,0.36721,0.009569,0.367199,0.6894,High-Lift Affinity Pair
36,"ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE","ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS",0.063371,0.065618,0.026517,0.41844,6.376907,0.022359,1.606681,0.900233,0.411275,0.02193,0.411212,0.7133,High-Lift Affinity Pair
37,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS","ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",0.065618,0.063371,0.026517,0.40411,6.376907,0.022359,1.571815,0.902398,0.411275,0.02193,0.411212,0.7092,High-Lift Affinity Pair
