InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,71056,LARGE DESK PAD BLACK,3,2025-03-23 03:36:43,16.31,14168.0,United Kingdom
536365,71053,WIRELESS ERGONOMIC MOUSE,6,2025-03-23 03:36:43,30.77,14168.0,United Kingdom
536365,21228,WALL CLOCK RETRO RED,1,2025-03-23 03:36:43,18.99,14168.0,United Kingdom
536366,71057,MONITOR LIGHT BAR,1,2025-09-03 00:37:59,39.15,,United Kingdom
536366,71055,USB-C MULTIPORT ADAPTER,1,2025-09-03 00:37:59,25.33,,United Kingdom
536367,20729,BLUEBERRY SCONE,1,2025-12-01 19:04:46,2.29,17330.0,EIRE
536367,20726,PAIN AU CHOCOLAT,6,2025-12-01 19:04:46,2.59,17330.0,EIRE
536368,71054,MECHANICAL KEYBOARD,1,2025-10-25 00:46:47,70.88,14360.0,United Kingdom
536368,71057,MONITOR LIGHT BAR,2,2025-10-25 00:46:47,41.97,14360.0,United Kingdom
C536369,20725,CROISSANT ALL BUTTER,-2,2025-05-27 05:11:21,2.33,16738.0,United Kingdom
C536369,20727,ALMOND DANISH,-3,2025-05-27 05:11:21,2.72,16738.0,United Kingdom
536370,71053,WIRELESS ERGONOMIC MOUSE,2,2025-07-15 04:49:15,30.31,13256.0,United Kingdom
536370,71056,LARGE DESK PAD BLACK,3,2025-07-15 04:49:15,16.33,13256.0,United Kingdom
536370,71057,MONITOR LIGHT BAR,6,2025-07-15 04:49:15,39.8,13256.0,United Kingdom
536370,71055,USB-C MULTIPORT ADAPTER,2,2025-07-15 04:49:15,25.21,13256.0,United Kingdom
536370,71054,MECHANICAL KEYBOARD,1,2025-07-15 04:49:15,66.71,13256.0,United Kingdom
536371,20725,CROISSANT ALL BUTTER,1,2025-11-01 23:45:50,2.23,17017.0,United Kingdom
536371,20728,CAPPUCCINO CUP & SAUCER,1,2025-11-01 23:45:50,8.46,17017.0,United Kingdom
536371,21213,MINI PAINT SET 9 COLOURS,6,2025-11-01 23:45:50,1.24,17017.0,United Kingdom
536372,20726,PAIN AU CHOCOLAT,24,2025-04-05 23:01:30,2.51,14276.0,United Kingdom
536372,20728,CAPPUCCINO CUP & SAUCER,12,2025-04-05 23:01:30,8.57,14276.0,United Kingdom
536372,20725,CROISSANT ALL BUTTER,2,2025-04-05 23:01:30,2.25,14276.0,United Kingdom
536372,20729,BLUEBERRY SCONE,1,2025-04-05 23:01:30,2.32,14276.0,United Kingdom
536372,21226,CHILLI LIGHTS STRING,1,2025-04-05 23:01:30,8.83,14276.0,United Kingdom
536372,21221,RETRO SPOT TEA TOWEL,2,2025-04-05 23:01:30,2.52,14276.0,United Kingdom
536373,22427,ORGANIC EGGS DOZEN,2,2025-12-06 20:59:20,4.82,17842.0,United Kingdom
536373,22423,ORGANIC WHOLE MILK,24,2025-12-06 20:59:20,3.54,17842.0,United Kingdom
536373,22426,STRAWBERRY PRESERVES,3,2025-12-06 20:59:20,4.06,17842.0,United Kingdom
536373,22961,HEART OF WICKER LARGE,2,2025-12-06 20:59:20,2.88,17842.0,United Kingdom
536373,22720,SET OF 3 CAKE TINS PANTRY,3,2025-12-06 20:59:20,4.83,17842.0,United Kingdom
536373,85099B,WHITE HANGING HEART T-LIGHT HOLDER,1,2025-12-06 20:59:20,2.53,17842.0,United Kingdom
536374,21223,SET OF 6 SPICE JARS,4,2025-08-17 00:30:07,10.31,16859.0,United Kingdom
536375,22423,REGENCY CAKESTAND 3 TIER,6,2025-11-24 03:39:59,12.4,15669.0,United Kingdom
536375,22960,HEART OF WICKER SMALL,4,2025-11-24 03:39:59,1.61,15669.0,United Kingdom
536375,85099B,WHITE HANGING HEART T-LIGHT HOLDER,6,2025-11-24 03:39:59,2.67,15669.0,United Kingdom
536375,22720,SET OF 3 CAKE TINS PANTRY,24,2025-11-24 03:39:59,4.97,15669.0,United Kingdom
536375,22961,HEART OF WICKER LARGE,1,2025-11-24 03:39:59,3.09,15669.0,United Kingdom
536375,85123D,FRENCH VANILLA SYRUP,3,2025-11-24 03:39:59,5.88,15669.0,United Kingdom
536375,85123B,  PURE CANE SUGAR   ,2,2025-11-24 03:39:59,2.43,15669.0,United Kingdom
536375,85123E,CERAMIC COFFEE MUG,2,2025-11-24 03:39:59,6.64,15669.0,United Kingdom
536375,85123A,COLOMBIAN ROAST COFFEE,1,2025-11-24 03:39:59,9.14,15669.0,United Kingdom
536376,85123D,FRENCH VANILLA SYRUP,1,2025-06-26 23:14:18,5.82,15685.0,United Kingdom
536376,85123B,PURE CANE SUGAR,2,2025-06-26 23:14:18,2.53,15685.0,United Kingdom
536376,85123C,DARK CHOCOLATE BAR 85%,3,2025-06-26 23:14:18,3.56,15685.0,United Kingdom
536377,85123E,CERAMIC COFFEE MUG,1,2025-05-06 04:42:09,6.62,14882.0,Spain
536377,85123A,COLOMBIAN ROAST COFFEE,4,2025-05-06 04:42:09,8.74,14882.0,Spain
536377,85123B,PURE CANE SUGAR,2,2025-05-06 04:42:09,2.59,14882.0,Spain
536377,85123C,DARK CHOCOLATE BAR 85%,2,2025-05-06 04:42:09,3.52,14882.0,Spain
536377,85123D,FRENCH VANILLA SYRUP,4,2025-05-06 04:42:09,6.22,14882.0,Spain
536378,84882,GARDENING GLOVES PAIR,6,2025-12-02 21:19:49,4.78,14365.0,Germany
536378,84879,CERAMIC PLANT POT WHITE,1,2025-12-02 21:19:49,9.9,14365.0,Germany
536379,21736,ORGANIC TOMATO BASIL SAUCE,6,2025-01-21 05:06:24,4.48,18037.0,United Kingdom
536379,21737,GARLIC HERB BREADSTICKS,3,2025-01-21 05:06:24,3.08,18037.0,United Kingdom
536380,85123B,PURE CANE SUGAR,4,2025-10-26 02:31:05,2.57,17188.0,United Kingdom
536380,85123A,COLOMBIAN ROAST COFFEE,2,2025-10-26 02:31:05,9.44,17188.0,United Kingdom
536380,85123E,CERAMIC COFFEE MUG,3,2025-10-26 02:31:05,6.67,17188.0,United Kingdom
536380,85123C,DARK CHOCOLATE BAR 85%,1,2025-10-26 02:31:05,3.37,17188.0,United Kingdom
536380,21222,RETRO SPOT APRON,3,2025-10-26 02:31:05,7.14,17188.0,United Kingdom
536381,20726,PAIN AU CHOCOLAT,3,2025-11-02 17:29:19,2.45,13225.0,United Kingdom
536381,20725,CROISSANT ALL BUTTER,2,2025-11-02 17:29:19,2.15,13225.0,United Kingdom
536382,20726,PAIN AU CHOCOLAT,6,2025-03-05 22:53:40,2.58,16355.0,United Kingdom
536382,20727,ALMOND DANISH,2,2025-03-05 22:53:40,2.78,16355.0,United Kingdom
536382,84883,LED GROW LIGHT BULB,1,2025-03-05 22:53:40,14.56,16355.0,United Kingdom
536382,84882,GARDENING GLOVES PAIR,3,2025-03-05 22:53:40,4.88,16355.0,United Kingdom
536382,84880,WATERING CAN GREEN 2L,3,2025-03-05 22:53:40,11.49,16355.0,United Kingdom
536383,71057,MONITOR LIGHT BAR,3,2025-05-03 23:14:15,39.07,,United Kingdom
536383,71055,USB-C MULTIPORT ADAPTER,1,2025-05-03 23:14:15,25.08,,United Kingdom
536384,85123C,DARK CHOCOLATE BAR 85%,1,2025-11-11 20:36:53,3.43,16637.0,United Kingdom
536384,85123A,COLOMBIAN ROAST COFFEE,1,2025-11-11 20:36:53,8.55,16637.0,United Kingdom
536385,84880,WATERING CAN GREEN 2L,4,2025-02-12 23:01:04,11.18,13274.0,United Kingdom
536385,84881,ORGANIC POTTING SOIL 10L,6,2025-02-12 23:01:04,7.33,13274.0,United Kingdom
536385,21229,HAND WARMER BIRD DESIGN,3,2025-02-12 23:01:04,2.04,13274.0,United Kingdom
536386,21735,AGED PARMESAN REGGIANO,6,2025-01-11 22:58:44,8.12,,United Kingdom
536386,21737,GARLIC HERB BREADSTICKS,2,2025-01-11 22:58:44,3.0,,United Kingdom
536387,84881,ORGANIC POTTING SOIL 10L,1,2025-06-06 23:37:29,6.8,17002.0,United Kingdom
536387,84882,GARDENING GLOVES PAIR,1,2025-06-06 23:37:29,5.12,17002.0,United Kingdom
536387,84880,WATERING CAN GREEN 2L,1,2025-06-06 23:37:29,11.52,17002.0,United Kingdom
536387,21225,GLASS STORAGE JAR LARGE,2,2025-06-06 23:37:29,4.07,17002.0,United Kingdom
536388,20729,BLUEBERRY SCONE,1,2025-08-09 04:01:18,2.49,,United Kingdom
536388,20725,CROISSANT ALL BUTTER,3,2025-08-09 04:01:18,2.25,,United Kingdom
536388,20726,PAIN AU CHOCOLAT,1,2025-08-09 04:01:18,2.45,,United Kingdom
536388,20728,CAPPUCCINO CUP & SAUCER,3,2025-08-09 04:01:18,8.75,,United Kingdom
536388,21224,GLASS STORAGE JAR SMALL,2,2025-08-09 04:01:18,2.19,,United Kingdom
