feature,cramers_v,chi2,p_value,dof
Contract,0.4107,952.31,1.6178507793068554e-207,2
OnlineSecurity,0.3506,694.28,1.7333797449682076e-151,2
TechSupport,0.3444,670.31,2.785783227183797e-146,2
InternetService,0.3261,600.85,3.371396295452316e-131,2
PaymentMethod,0.3103,545.21,7.571918942899566e-118,3
OnlineBackup,0.2937,488.04,1.056679623595831e-106,2
DeviceProtection,0.2793,441.28,1.500991784815355e-96,2
StreamingMovies,0.2309,302.43,2.1288756998298268e-66,2
StreamingTV,0.2296,299.02,1.1732133320049587e-65,2
PaperlessBilling,0.1975,219.92,9.403693565942979e-50,1
Dependents,0.1669,157.16,4.7139956081251144e-36,1
Partner,0.1451,118.97,1.0636217670392265e-27,1
SeniorCitizen,0.145,118.55,1.316876487702721e-27,1
MultipleLines,0.0399,10.97,0.004138967631064781,2
PhoneService,0.012,1.68,0.1952454518833495,1
gender,0.0,0.02,0.8921967902255464,1
