number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.6118139230227675,2026-09-02 16:22:13.652746,2026-09-02 16:22:14.898774,0 days 00:00:01.246028,0.5780093202212182,0.22648248189516848,4,2,306,0.0017073967431528124,2.9154431891537547,2.8952211423756617,0.7993292420985183,COMPLETE
1,0.6586412275098414,2026-09-02 16:22:14.898811,2026-09-02 16:22:17.458525,0 days 00:00:02.559714,0.6061695553391381,0.001124579825911934,6,2,390,0.00541524411940254,0.016480446427978974,2.6544745421395004,0.9162213204002109,COMPLETE
2,0.659209189901761,2026-09-02 16:22:17.458563,2026-09-02 16:22:19.042031,0 days 00:00:01.583468,0.6460723242676091,0.005265139631677754,5,4,264,0.06672367170464207,1.382623217936987,1.6295400482966076,0.569746930326021,COMPLETE
3,0.6509437890389785,2026-09-02 16:22:19.042077,2026-09-02 16:22:19.739106,0 days 00:00:00.697029,0.5852620618436457,0.029341527565000736,5,1,66,6.245139574743075,7.2866537374910445,3.548749766118354,0.8037724259507192,COMPLETE
4,0.6438419154790743,2026-09-02 16:22:19.739142,2026-09-02 16:22:21.046570,0 days 00:00:01.307428,0.5610191174223894,0.0017456037635797405,4,5,290,0.0013726318898045872,4.337920697490942,1.8158926041951036,0.7200762468698007,COMPLETE
5,0.6537953237219635,2026-09-02 16:22:21.046608,2026-09-02 16:22:22.479878,0 days 00:00:01.433270,0.5924272277627636,0.005917607170144194,6,10,232,1.2604664585649468,5.727904470799623,3.8212499774185438,0.7733551396716398,COMPLETE
6,0.6132960430063106,2026-09-02 16:22:22.479920,2026-09-02 16:22:22.766159,0 days 00:00:00.286239,0.522613644455269,0.19212959255386391,6,4,81,0.03586816498627549,0.01217295809836997,3.6128790965803472,0.5979914312095727,PRUNED
7,0.6286844464224088,2026-09-02 16:22:22.766195,2026-09-02 16:22:23.238457,0 days 00:00:00.472262,0.9010984903770198,0.0049648810171066555,4,1,240,8.862326508576253,1.2273800987852967,1.6265193076329911,0.5704621124873813,PRUNED
8,0.6433438510442218,2026-09-02 16:22:23.238488,2026-09-02 16:22:23.679734,0 days 00:00:00.441246,0.8856351733429728,0.10471209213501693,2,1,298,0.02715581955282941,0.0029072088906598446,3.7212294300097724,0.8645035840204937,PRUNED
9,0.6476241381660559,2026-09-02 16:22:23.679760,2026-09-02 16:22:24.210643,0 days 00:00:00.530883,0.6625916610133735,0.006601984958164864,6,8,72,0.35500125258511606,3.53875886477924,2.4888194312714704,0.6554911608578311,PRUNED
10,0.6252495727530508,2026-09-02 16:22:24.210673,2026-09-02 16:22:24.627226,0 days 00:00:00.416553,0.7627637289427598,0.027850420080947177,8,6,154,0.15455082385721058,0.23725024770141542,1.1639748447507146,0.5089809378074098,PRUNED
11,0.6304021735859796,2026-09-02 16:22:24.627253,2026-09-02 16:22:26.156327,0 days 00:00:01.529074,0.7092420316039709,0.0011594206339960212,8,3,381,0.009125703046060927,0.05110333258151402,2.4370086700376086,0.9464487749171034,PRUNED
12,0.6303364588009759,2026-09-02 16:22:26.156356,2026-09-02 16:22:27.511774,0 days 00:00:01.355418,0.7707776101840932,0.0024359074713150007,7,6,392,0.0059649492795306085,0.001362522051403353,2.898385408242692,0.9991121898146318,PRUNED
13,0.6597622012990115,2026-09-02 16:22:27.511800,2026-09-02 16:22:28.619399,0 days 00:00:01.107599,0.6608654614999451,0.018784192604910953,2,3,350,0.0873612653492446,0.42638469802891515,1.9774986421152192,0.8999612751508559,COMPLETE
14,0.6589974612748287,2026-09-02 16:22:28.619439,2026-09-02 16:22:29.627366,0 days 00:00:01.007927,0.683689443610008,0.017514834173027394,2,4,337,0.11433958355109707,0.4014240669412804,1.8299916868225126,0.6866291716128416,COMPLETE
15,0.6479441753403927,2026-09-02 16:22:29.627400,2026-09-02 16:22:30.066496,0 days 00:00:00.439096,0.8196573105882428,0.01149630607113566,3,7,213,0.9504804203255387,0.2735519562189282,1.143476234908874,0.5054945946218856,PRUNED
16,0.6480114465871591,2026-09-02 16:22:30.066519,2026-09-02 16:22:30.602358,0 days 00:00:00.535839,0.65580888734406,0.0397352091126188,3,4,344,0.04605396289543935,0.8088332704222068,2.1299482323479726,0.6182496405262673,PRUNED
17,0.617735076639912,2026-09-02 16:22:30.602382,2026-09-02 16:22:30.882314,0 days 00:00:00.279932,0.7372068973840753,0.0035545030121162287,3,3,197,0.3287428586165354,0.052034252047786604,1.4142577040963213,0.8616832037557923,PRUNED
18,0.621444382134448,2026-09-02 16:22:30.882343,2026-09-02 16:22:31.285472,0 days 00:00:00.403129,0.8359144231488347,0.05984448874570398,5,5,256,0.016055375545796224,0.11171521452581129,2.113184789849031,0.7346731338817981,PRUNED
19,0.6219926702465088,2026-09-02 16:22:31.285496,2026-09-02 16:22:31.509581,0 days 00:00:00.224085,0.6308467359466122,0.011554579187650649,2,9,174,0.08858950061648915,1.5744160718884657,2.0615133613643537,0.9956385980717997,PRUNED
20,0.6566758199366525,2026-09-02 16:22:31.509604,2026-09-02 16:22:33.011841,0 days 00:00:01.502237,0.9743619910938446,0.011334402315969787,5,3,349,1.5059863513309546,0.5573487172304571,1.4624987362460051,0.8637686313392079,COMPLETE
21,0.6600366220078057,2026-09-02 16:22:33.011876,2026-09-02 16:22:33.785759,0 days 00:00:00.773883,0.6949315092951761,0.017677278531038888,2,4,336,0.11189257749997814,0.38746765159446855,1.7975501413938915,0.6801546034381054,COMPLETE
22,0.6635375106172331,2026-09-02 16:22:33.785798,2026-09-02 16:22:34.596384,0 days 00:00:00.810586,0.707289201615861,0.01939579830902968,3,5,275,0.33192639845200034,0.1358978640204605,1.7261718294454245,0.5384230051612939,COMPLETE
