customerID,MonthlyCharges,tenure,Contract,Churn,value_segment,risk_segment,rule_segment,cluster
4950-BDEUX,49.2,35,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,1
7993-NQLJE,75.1,15,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
7321-ZNSLA,40.55,13,Two year,0,Low value,Low risk,Low value / Low risk,1
4922-CVPDX,73.5,26,Two year,0,Mid value,Low risk,Mid value / Low risk,1
2903-YYTBW,44.55,1,Month-to-month,0,Low value,High risk,Low value / High risk,1
8414-OOEEL,79.5,66,Two year,0,Mid value,Low risk,Mid value / Low risk,2
8562-GHPPI,19.8,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
8017-UVSZU,56.6,40,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
1972-XMUWV,59.8,65,Two year,0,Mid value,Low risk,Mid value / Low risk,2
2054-PJOCK,80.55,60,One year,0,Mid value,Low risk,Mid value / Low risk,2
8250-ZNGGW,59.9,5,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
2075-RMJIK,49.4,5,Month-to-month,0,Low value,High risk,Low value / High risk,1
6629-LADHQ,50.95,2,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
1810-MVMAI,67.6,30,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
0396-YCHWO,95.4,36,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
1303-SRDOK,69.05,55,Two year,0,Mid value,Low risk,Mid value / Low risk,2
2455-USLMV,84.75,31,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
5697-GOMBF,35.9,28,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,1
7469-LKBCI,18.95,16,Two year,0,Low value,Low risk,Low value / Low risk,0
7787-BNTZM,20.15,6,Month-to-month,0,Low value,High risk,Low value / High risk,0
6726-WEXXK,85.9,27,One year,0,High value,Low risk,High value / Low risk,1
5995-LFTLE,25.3,58,Two year,0,Low value,Low risk,Low value / Low risk,0
2984-TBYKU,104.9,72,Two year,0,High value,Low risk,High value / Low risk,2
7746-AWNQW,35.75,28,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,1
4851-BQDNX,85.05,40,One year,0,High value,Low risk,High value / Low risk,2
4745-LSPLO,20.5,1,Month-to-month,1,Low value,High risk,Low value / High risk,0
6941-PMGEP,80.0,5,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
9728-FTTVZ,69.2,1,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
7145-FEJWU,105.3,12,Month-to-month,0,High value,High risk,High value / High risk,1
0306-JAELE,96.1,5,Month-to-month,1,High value,High risk,High value / High risk,1
9435-JMLSX,86.1,71,Two year,0,High value,Low risk,High value / Low risk,2
5835-BEQEU,76.95,3,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
1577-HKTFG,19.65,30,Month-to-month,1,Low value,Medium risk,Low value / Medium risk,0
9621-OUPYD,20.2,25,One year,0,Low value,Low risk,Low value / Low risk,0
2207-RYYRL,24.55,52,Two year,0,Low value,Low risk,Low value / Low risk,0
0691-IFBQW,110.0,46,One year,1,High value,Low risk,High value / Low risk,2
8270-RKSAP,70.5,9,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
0168-XZKBB,86.85,19,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
6789-HJBWG,49.4,12,Month-to-month,0,Low value,High risk,Low value / High risk,1
7856-GANIL,98.7,45,One year,0,High value,Low risk,High value / Low risk,2
8123-QBNAZ,104.5,36,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
6075-SLNIL,95.1,38,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
3373-YZZYM,19.2,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
1455-UGQVH,98.5,10,Month-to-month,1,High value,High risk,High value / High risk,1
3640-JQGJG,44.8,13,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,1
3230-WYKIR,82.0,18,One year,1,Mid value,Low risk,Mid value / Low risk,1
2580-ASVVY,45.4,37,Two year,0,Low value,Low risk,Low value / Low risk,1
2739-CCZMB,20.35,5,Month-to-month,0,Low value,High risk,Low value / High risk,0
4503-BDXBD,74.95,11,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
9974-JFBHQ,99.15,64,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
4727-MCYZG,55.55,1,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
3990-QYKBE,92.5,37,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
6891-JPYFF,105.25,48,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
1626-ERCMM,94.55,20,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
8663-UPDGF,69.5,26,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
0839-QNXME,19.4,30,Two year,0,Low value,Low risk,Low value / Low risk,0
8990-YOZLV,66.9,69,Two year,0,Mid value,Low risk,Mid value / Low risk,2
1187-WILMM,89.4,63,Two year,0,High value,Low risk,High value / Low risk,2
4903-UYAVB,19.35,5,Month-to-month,1,Low value,High risk,Low value / High risk,0
4884-LEVMQ,20.45,39,Two year,0,Low value,Low risk,Low value / Low risk,0
0702-PGIBZ,101.7,4,Month-to-month,1,High value,High risk,High value / High risk,1
3716-LRGXK,101.15,60,Two year,0,High value,Low risk,High value / Low risk,2
5449-FIBXJ,103.3,19,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
6688-UZPWD,102.0,11,Month-to-month,1,High value,High risk,High value / High risk,1
1254-IZEYF,99.95,31,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
0215-BQKGS,84.3,30,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
3785-KTYSH,24.6,53,Two year,0,Low value,Low risk,Low value / Low risk,0
8481-YYXWG,89.35,5,Month-to-month,1,High value,High risk,High value / High risk,1
0549-CYCQN,79.6,51,One year,0,Mid value,Low risk,Mid value / Low risk,2
