,active_customers
2014-03-01,292
2014-04-01,434
2014-05-01,533
2014-06-01,608
2014-07-01,692
2014-08-01,765
2014-09-01,843
2014-10-01,911
2014-11-01,975
2014-12-01,1032
2015-01-01,1082
2015-02-01,1131
2015-03-01,1187
2015-04-01,1237
2015-05-01,1293
2015-06-01,1346
2015-07-01,1408
2015-08-01,1459
2015-09-01,1516
2015-10-01,1571
2015-11-01,1634
2015-12-01,1688
2016-01-01,1741
2016-02-01,1789
2016-03-01,1840
2016-04-01,1899
2016-05-01,1953
2016-06-01,2006
2016-07-01,2049
2016-08-01,2102
2016-09-01,2154
2016-10-01,2209
2016-11-01,2261
2016-12-01,2309
2017-01-01,2359
2017-02-01,2410
2017-03-01,2450
2017-04-01,2524
2017-05-01,2572
2017-06-01,2624
2017-07-01,2678
2017-08-01,2734
2017-09-01,2794
2017-10-01,2853
2017-11-01,2895
2017-12-01,2957
2018-01-01,3016
2018-02-01,3079
2018-03-01,3152
2018-04-01,3223
2018-05-01,3292
2018-06-01,3337
2018-07-01,3391
2018-08-01,3443
2018-09-01,3518
2018-10-01,3592
2018-11-01,3659
2018-12-01,3743
2019-01-01,3810
2019-02-01,3897
2019-03-01,3996
2019-04-01,4079
2019-05-01,4171
2019-06-01,4263
2019-07-01,4364
2019-08-01,4464
2019-09-01,4552
2019-10-01,4662
2019-11-01,4802
2019-12-01,4952
2020-01-01,5139
2020-02-01,5626
2020-03-01,5634
