customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,avg_monthly_spend,spend_gap,num_addon_services,has_internet,is_month_to_month,is_electronic_check,charges_per_service,is_new_customer,pm_contract,pm_contract_te_oof
4950-BDEUX,Male,0,No,No,35,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.2,1701.65,0,25-48mo,48.61857142857143,-0.5814285714285745,3,1,1,1,12.3,0,Electronic check | Month-to-month,0.5290717551395768
7993-NQLJE,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,0,13-24mo,76.77,1.6700000000000017,1,1,1,0,25.03333333333333,0,Mailed check | Month-to-month,0.32649664757474545
7321-ZNSLA,Male,0,Yes,Yes,13,No,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,40.55,590.35,0,13-24mo,45.41153846153846,4.861538461538466,3,1,0,0,10.1375,0,Mailed check | Two year,0.018688884041668984
4922-CVPDX,Female,0,Yes,No,26,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.5,1905.7,0,25-48mo,73.29615384615384,-0.20384615384615756,4,1,0,0,12.25,0,Credit card (automatic) | Two year,0.030586698494424087
2903-YYTBW,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.55,44.55,0,0-6mo,44.55,0.0,0,1,1,1,22.275,1,Electronic check | Month-to-month,0.5344521458698098
8414-OOEEL,Male,0,No,Yes,66,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.5,5196.1,0,61mo+,78.72878787878788,-0.7712121212121161,5,1,0,0,11.357142857142858,0,Credit card (automatic) | Two year,0.030586698494424087
8562-GHPPI,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),19.8,19.8,0,0-6mo,19.8,0.0,0,0,1,0,19.8,1,Credit card (automatic) | Month-to-month,0.29779151516679164
8017-UVSZU,Female,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,0,25-48mo,59.4775,2.8774999999999977,1,1,1,0,18.866666666666667,0,Credit card (automatic) | Month-to-month,0.29779151516679164
1972-XMUWV,Female,0,Yes,No,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),59.8,3808.2,0,61mo+,58.58769230769231,-1.2123076923076894,2,1,0,0,14.95,0,Credit card (automatic) | Two year,0.02796202657841359
2054-PJOCK,Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80.55,4847.05,0,49-60mo,80.78416666666666,0.23416666666666686,4,1,0,0,13.424999999999999,0,Credit card (automatic) | One year,0.10096034896354385
8250-ZNGGW,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.9,287.85,0,0-6mo,57.57000000000001,-2.329999999999991,3,1,1,0,11.98,0,Credit card (automatic) | Month-to-month,0.31435662535902154
2075-RMJIK,Female,0,Yes,Yes,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.4,232.55,0,0-6mo,46.510000000000005,-2.8899999999999935,1,1,1,0,16.466666666666665,0,Mailed check | Month-to-month,0.32649664757474545
6629-LADHQ,Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.95,123.05,0,0-6mo,61.525,10.574999999999996,1,1,1,0,16.983333333333334,1,Mailed check | Month-to-month,0.31573555733985165
1810-MVMAI,Male,0,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,67.6,2000.2,0,25-48mo,66.67333333333333,-0.9266666666666623,4,1,1,1,11.266666666666666,0,Electronic check | Month-to-month,0.545237048618192
0396-YCHWO,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.4,3474.2,0,25-48mo,96.50555555555555,1.10555555555554,2,1,1,1,23.85,0,Electronic check | Month-to-month,0.5454685719986728
1303-SRDOK,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),69.05,3842.6,0,49-60mo,69.86545454545454,0.8154545454545428,0,1,0,0,34.525,0,Credit card (automatic) | Two year,0.02796202657841359
2455-USLMV,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.75,2613.4,0,25-48mo,84.30322580645162,-0.44677419354837866,2,1,1,0,21.1875,0,Credit card (automatic) | Month-to-month,0.32676059419152825
5697-GOMBF,Female,1,Yes,Yes,28,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.9,973.65,0,25-48mo,34.77321428571428,-1.1267857142857167,1,1,1,1,17.95,0,Electronic check | Month-to-month,0.546216898869445
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,0,13-24mo,20.425,1.4750000000000014,0,0,0,0,18.95,0,Credit card (automatic) | Two year,0.034133830315938946
7787-BNTZM,Male,0,No,No,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.15,130.5,0,0-6mo,21.75,1.6000000000000014,0,0,1,0,20.15,0,Bank transfer (automatic) | Month-to-month,0.32882984484282995
6726-WEXXK,Male,1,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,85.9,2220.1,0,25-48mo,82.22592592592592,-3.6740740740740847,2,1,0,1,21.475,0,Electronic check | One year,0.19001503032500247
5995-LFTLE,Male,0,No,No,58,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.3,1474.35,0,49-60mo,25.419827586206896,0.11982758620689538,0,0,0,0,25.3,0,Credit card (automatic) | Two year,0.034133830315938946
